Sl.No.,Company Name,Sector,Core Role / Others,Course,School,Profile / Designation,Job Location,UG/PG,Posting Date,Posting Month,Internship Cum PPO Offer,SS_JD,Year
1,Accenture,IT / ITES,Any Specialization,B.Sc / M.Sc,School of Sciences,System and Application Services Associate,Bengaluru,UG,7/25/24,July,NA, ,2025
2,Themathcompany,Edtech,Any Specialization,MCA / M.Sc,CS & IT / Sciences,Trainee Analyst,Bengaluru,PG,7/31/24,August,NA,"Be curious and open to learning.
• Continuously upskill and get certified in various technologies, tools, and
algorithms.
• Understand & embody MathCo’s way of working and culture.
• Possess an ownership mindset to drive results and strive for excellence.
• Participate and contribute to initiatives that foster company growth. Consult & liaise with clients/stakeholders to understand business problems.
• Showcase strong analytical/problem-solving ability.
• Define, break down, and solve business problems across domains while
leveraging the support of subject-matter-experts.
• Build expertise in Data, AI/ML Design & Engineering.
• Be the owner of delivering analytical solutions in a project.
• Increase last-mile adoption of solutions built.
• Learn and gain proficiency in tools (Python / Spark / TensorFlow, etc.) and
techniques (Deep Learning, Neural Networks, Computer Vision, Machine
Learning, etc.)",2025
3,Mindtribe,Manufacturing,Any Specialization,M.Sc,School of Sciences,Social Media Intern,Remote,PG,8/20/24,August,No,-,2025
4,Dendrite.ai,IT / ITES,Data Science & Analytics,M.Sc,School of Sciences,DataScientistIntern,Pune & Remote,PG,8/20/24,August,Internship Cum PPO Offer,"Pursuing/Completed Ph.D./Masters in Finance, Economics or Business
  Have built quantitative models either in course work or in other internships is a plus
  Intellectually curious and eager to learn about Finance (Investments and Corporate Finance)
  Prior internship experience in Financial Services Experience using ML libraries, such as Sci kit-learn, caret, NLTK or spark MLlib
  Excellent Software skills (proficiency in Python - Data Science stack) 
  Build statistical and ML models to evaluate the historical performance and define predictive and prescriptive solutions
  Data Engineering experience/coursework and ability to integrate multiple data sources
  Knowledge of SQL and relational Databases
  Comfortable with UNIX Operating System
  Knowledge of Docker and Git
  Strong analytical, design, problem-solving, and troubleshooting/debugging skills
  Ability to work independently in a home office and doesnt need hand holding
  Flexible schedule offered, but you will work evenings most days post your college (anywhere between ~3-5 hours daily)",2025
5,Oopar Club,Media / Entertainment,Psychology,M.Sc,School of Sciences,Community Management Intern,Bangalore,PG,8/26/24,August,Internship,"Strong communication and interpersonal skills with the ability to connect with diverse groups of people.
Creativity and the ability to think outside the box to drive community engagement.
Experience with social media management, content creation, and digital marketing.
Excellent organizational skills and the ability to manage multiple projects simultaneously.
0-1 Years of community management experience Community Engagement:
Build, manage, and grow Oopars online and offline communities.
Foster a welcoming and inclusive environment for all members.
Regularly interact with community members to understand their needs and interests.
Organize and facilitate online and offline events, meetups, and activities that align with the communitys goals.
Content Creation:
Develop engaging content for social media, newsletters, and the Oopar app that resonates with our target audience.
Create and manage a content calendar that highlights upcoming events, community stories, and relevant topics.
Event Management:
Plan, coordinate, and execute community events, workshops, and challenges that align with Oopars mission.
Collaborate with local venues and partners to host events that cater to our members' interests.
Feedback and Improvement:
Collect and analyze feedback from community members to continuously improve the community experience.
Monitor community health metrics, such as participation rates and member satisfaction, and use data-driven insights to enhance engagement.
Collaboration:
Work closely with the marketing and content teams to promote community events and initiatives.
Partner with external stakeholders, influencers, and organizations to expand the community's reach and impact.",2025
6,Incruiter India Pvt. Ltd,Research and Consulting,Psychology,M.Sc,School of Sciences,Corporate Psychology HR Intern,Bangalore,PG,8/27/24,August,No,"Education: Currently pursuing a degree in Psychology, Human Resources, or a related field.
Skills: Strong communication and interpersonal skills. Ability to handle sensitive information with
confidentiality.
Experience: Previous experience in a customer service or HR-related role is a plus, but not mandatory.
Traits: Enthusiastic, empathetic, and a team player with a keen interest in employee engagement and
organisational behaviour.
Enthusiasm: Eager to learn and take on new challenges in a fast-paced environment. Exit Interviews: Conduct exit interviews with employees who have recently left the company. Gather
insights on their experiences, reasons for departure, and suggestions for improvement.
Candidate Follow-Up: Reach out to former employees to check in on their post-departure experiences
and gather valuable feedback.
Data Collection & Analysis: Assist in compiling and analysing data from exit interviews to identify trends
and areas for improvement.
People Management Support: Contribute to people management initiatives by supporting engagement
activities and employee well-being programs.
Reporting: Prepare reports on findings from exit interviews and provide actionable recommendations to
the HR team.",2025
7,Cyber Secured India,IT / ITES,Forensic Science,B.Sc / M.Sc,School of Sciences,Cyber Security & Digital Forensics Training and Internship Program ,Remote,UG / PG,8/28/24,August,No, ,2025
8,CloudSek,IT / ITES,Analytics / Data Science / Forensic Science,B.Sc / M.Sc,School of Sciences,Campus Catalyst,Hybrid / WFH,UG / PG,8/28/24,August,Internship Cum PPO Offer, ,2025
9,REConnect Energy Solutions Ltd,Professsional Services,Any Specialization,B.Sc / M.Sc,School of Sciences,Multiple Roles,Bangalore,UG / PG,8/30/24,August,Internship,"Interest in power and energy sectors
● Excellent written and verbal communication skills
● Exposure to software development (UI/UX and Product Design)
● Organized and detail-oriented Research and analysis of regulatory and policy documents pertaining to Indian Energy and
Power sector
● Support Product design and development (UI/UX, marketing materials, workflow mapping)
● Present ideas for improvement in user experience of current products
● Assist Product and Engineering teams with launch of new products in pipeline
● Content creation for the company website and blog.
",2025
10,Trisha Interiors,Real Estate / Construction,Any Specialization,B.Sc,School of Sciences,Interior Designer,Bangalore,UG,9/13/24,September,NA,"Bachelor's or Master's degree in Interior Design or Architecture 
Experience in interior design, including leadership roles. 
Experience in commercial/hospitality/mixed-use sector projects preferred 
Proficiency in AutoCAD, Sketchup, V-ray, Photoshop, InDesign, and other similar design software 
Strong attention to detail and ability to manage multiple projects with tight deadlines 
Ability to communicate effectively, both verbally and in writing, with clients and team members 
Knowledge of local design codes, building codes, and regulations 
Leadership, problem-solving, and decision-making skills. 
Portfolio showing previous work with a range of styles and visual technique   ",2025
